ID,Müşteri Talebi,Banka Yanıtı
19,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
20,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
21,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
22,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
23,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
24,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
25,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
26,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
27,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
28,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
29,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
30,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
31,Kredi kartı limitimi nasıl artırırım?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
32,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
33,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
34,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
35,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
36,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
37,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
38,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
39,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
40,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
41,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
42,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
43,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
44,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
45,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
46,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
47,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
48,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
49,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
50,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
51,Kredi kartı limitimi nasıl artırırım?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
52,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
53,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
54,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
55,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
56,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
57,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
58,Hesap bakiyemi yanlış görüyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
59,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
60,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
61,"Kredi kartım kayboldu, ne yapmalıyım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
62,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
63,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
64,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
65,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
66,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
67,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
68,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
69,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
70,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
71,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
72,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
73,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
74,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
75,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
76,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
77,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
78,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
79,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
80,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
81,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
82,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
83,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
84,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
85,Dijital bankacılık uygulamanızda bir hata alıyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
86,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
87,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
88,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
89,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
90,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
91,"Ödemem iki kez çekildi, nasıl iade alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
92,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
93,Kredi kartı limitimi nasıl artırırım?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
94,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
95,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
96,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
97,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
98,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
99,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
100,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
101,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
102,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
103,"ATM'de para sıkıştı, nasıl geri alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
104,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
105,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
106,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
107,Hesap bakiyemi yanlış görüyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
108,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
109,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
110,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
111,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
112,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
113,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
114,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
115,Havale ücreti neden kesildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
116,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
117,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
118,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
119,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
120,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
121,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
122,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
123,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
124,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
125,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
126,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
127,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
128,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
129,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
130,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
131,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
132,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
133,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
134,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
135,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
136,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
137,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
138,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
139,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
140,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
141,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
142,"ATM'de para sıkıştı, nasıl geri alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
143,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
144,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
145,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
146,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
147,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
148,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
149,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
150,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
151,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
152,Kredi kartı limitimi nasıl artırırım?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
153,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
154,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
155,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
156,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
157,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
158,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
159,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
160,Hesap bakiyemi yanlış görüyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
161,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
162,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
163,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
164,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
165,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
166,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
167,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
168,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
169,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
170,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
171,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
172,"ATM'de para sıkıştı, nasıl geri alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
173,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
174,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
175,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
176,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
177,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
178,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
179,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
180,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
181,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
182,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
183,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
184,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
185,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
186,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
187,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
188,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
189,Hesap bakiyemi yanlış görüyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
190,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
191,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
192,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
193,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
194,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
195,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
196,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
197,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
198,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
199,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
200,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
201,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
202,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
203,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
204,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
205,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
206,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
207,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
208,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
209,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
210,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
211,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
212,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
213,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
